outcome_type;sex;Spay/Neuter;outcome_age_(days);Cat/Kitten (outcome);cfa_breed;coat_pattern;color1;color2;breed1;breed2
Transfer;Male;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;No;30;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;white;black;domestic shorthair;
Return to Owner;Female;Yes;365;Cat;False;;black;white;domestic mediumhair;
Transfer;Male;No;21;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;240;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;black;white;domestic mediumhair;
Transfer;Female;No;60;Kitten;True;point;seal;;siamese;
Transfer;Female;Yes;14;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;;black;;domestic shorthair;
Died;Male;Yes;1095;Cat;False;tabby;orange;;domestic mediumhair;
Adoption;Female;Yes;1460;Cat;True;;blue;;russian blue;
Transfer;Male;Yes;730;Cat;False;tabby;cream ;white;domestic shorthair;
Adoption;Male;Yes;2555;Cat;True;;blue;;russian blue;
Transfer;Female;No;30;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown;;domestic mediumhair;
Transfer;Female;No;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;;chocolate;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Euthanasia;Female;No;60;Kitten;False;tabby;brown;;domestic mediumhair;
Return to Owner;Male;Yes;2190;Cat;False;tabby;blue ;white;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;;black;white;domestic shorthair;
Euthanasia;Female;Yes;14;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic longhair;
Adoption;Male;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;white;black;domestic shorthair;
Transfer;Male;Yes;150;Kitten;False;;black;white;domestic mediumhair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Female;No;2920;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;3650;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;60;Kitten;False;tabby;orange;;domestic shorthair;
Euthanasia;Male;No;21;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Female;Yes;2920;Cat;False;torbie;Breed Specific;;domestic shorthair;
Euthanasia;Female;No;28;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;;blue;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;150;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;1095;Cat;False;tabby;silver;;domestic shorthair;
Transfer;Female;No;5475;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;14;Kitten;True;point;flame;;siamese;
Transfer;Female;No;300;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;300;Cat;False;;black;;domestic longhair;
Adoption;Male;Yes;330;Cat;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;black;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;False;tabby;orange;;domestic longhair;
Return to Owner;Male;Yes;2920;Cat;False;tabby;white;orange;domestic shorthair;
Adoption;Female;Yes;180;Cat;False;;blue;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;150;Kitten;True;point;seal;;siamese;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;blue;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;blue ;white;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;;blue;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;No;60;Kitten;False;tabby;orange;;domestic mediumhair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;180;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;cream;;domestic mediumhair;
Transfer;Female;Yes;730;Cat;False;calico;Breed Specific;;domestic shorthair;
Return to Owner;Female;Yes;120;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;No;90;Kitten;True;tabby;brown ;white;manx;
Transfer;Male;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown;;domestic mediumhair;
Adoption;Female;Yes;5840;Cat;True;point;lynx;;siamese;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic longhair;
Return to Owner;Female;Yes;1460;Cat;True;point;lynx;;siamese;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;;domestic mediumhair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Return to Owner;Male;Yes;1095;Cat;False;tabby;blue;;domestic shorthair;
Adoption;Male;Yes;2190;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Male;No;90;Kitten;False;tabby;brown;;domestic longhair;
Transfer;Female;Yes;21;Kitten;False;tabby;cream;;domestic shorthair;
Died;Female;No;30;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;orange ;white;domestic mediumhair;
Transfer;Female;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;smoke;black;;domestic longhair;
Transfer;Female;Yes;240;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;270;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;No;300;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;brown;;domestic mediumhair;
Transfer;Female;Yes;90;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;white;black;domestic shorthair;
Adoption;Male;No;30;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;120;Kitten;False;calico;Breed Specific;;domestic mediumhair;
Euthanasia;Male;No;3;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;No;120;Kitten;True;tortie;Breed Specific;;ragdoll;
Transfer;Male;No;30;Kitten;False;;blue;;domestic shorthair;
Euthanasia;Male;No;21;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;180;Cat;False;tortie;Breed Specific;;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;365;Cat;False;;black;;domestic mediumhair;
Adoption;Male;Yes;90;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;90;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;6;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;730;Cat;True;point;lynx;;siamese;
Euthanasia;Male;No;365;Cat;False;;orange;white;domestic shorthair;
